dist_cumul [km];lat [g];lon [g];height (NF02) [m]
3.797177008;46.63611561;6.64438398;638.9
3.860213718;46.63559129;6.644070053;638.3
3.902486947;46.63525179;6.643820886;638.1
3.910530465;46.63519708;6.643751965;637.9
3.913689122;46.63518597;6.643713891;637.6
3.919730227;46.63517149;6.64363763;637.2
3.923152751;46.63518049;6.643594761;636.6
3.932485877;46.63519825;6.643475288;636.2
3.940785657;46.63523165;6.643378077;634
3.991934991;46.63550189;6.642835946;631.5
4.055773309;46.63584913;6.642170099;628.2
4.132629049;46.63626393;6.6413649;625
4.207965514;46.6366715;6.640576678;624.4
4.249800006;46.63690398;6.640145864;624.5
4.275464978;46.6370681;6.639909502;625.2
4.29280699;46.63720998;6.639815178;625.8
4.308300616;46.63734765;6.639783897;626.6
4.333663101;46.63757413;6.639823281;626.1
4.359490394;46.63780379;6.639873865;625.4
4.387600837;46.63804622;6.639978245;624.8
4.425254909;46.63834836;6.640200961;624.4
4.47824806;46.63877049;6.640523126;624.2
4.501277212;46.63895884;6.640648557;623.9
4.515142608;46.63907247;6.640723356;623.5
4.527378672;46.6391825;6.640726227;623.3
4.534616068;46.63924755;6.640723015;622.8
4.550186742;46.63934924;6.640863226;622.3
4.562256711;46.63940134;6.641001921;621.7
4.569783905;46.63942137;6.641096101;621.7
4.569783905;46.63942137;6.641096101;621.7
